year,leaid,lea_name,state_name,city_location,phone,necta,supervisory_union_number,agency_type,enrollment,spec_ed_students,english_language_learners,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_fte,In-person?,In-person grades,Hybrid?,Hybrid grades,Fully Remote?,Ever in-person?,Ever in-person grades,Update date for In-person data,Source for In-person data (links/notes)?,Metrics for in-person,School cases,Number of Hampden County population in staff,Number of Hampden County population in students,Number of Hispanic or Latino,Number of Black or African American,"Quality of ventilation of the building (not sure how to measure that... age of the building, updates...)",,,instructional_aides_fte,coordinators_fte,guidance_counselors_elem_fte,guidance_counselors_sec_fte,guidance_counselors_total_fte,librarian_specialists_fte,librarian_support_staff_fte,lea_administrators_fte,lea_admin_support_staff_fte,school_administrators_fte,school_admin_support_staff_fte,support_staff_students_fte,support_staff_other_fte,staff_total_fte,lea_staff_total_fte,other_staff_fte,school_staff_total_fte,school_counselors_fte,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
2018,2501780,Adams-Cheshire,Massachusetts,Cheshire,(413)743-2939,76600,.,Regular local school district,1161,279,7,2,4,41,31,0,79,,,,,,,,,,,,,,,,,,,69,0,0,1,1,0,1,2,0,7,21,19,5,205,2,5,117.5,0,11945,1524,214,0.14042,0.127585
2018,2501800,Agawam,Massachusetts,Feeding Hills,(413)821-0548,78100,.,Regular local school district,3747,627,187,8,14,201,93,0,318,Yes,K-1,Yes,PreK students and grades 2-12,,,,,https://www.agawamed.org/article/345193,,,,,,,,,,171,3,4,4,8,3,7,8,8,15,23,74,4,646,20,4,295.42,0,28855,4076,469,0.115064,0.141258
2018,2501890,Amherst,Massachusetts,Amherst,(413)362-1810,78100,.,Regular local school district,1131,240,173,4,9,106,0,0,120,,,,,Yes,Yes,K-1,,,,,,,,,,,,94,1,3,0,3,3,2,4,7,7,8,27,3,282,13,3.5,141.98,0,38607,1295,144,0.111197,0.033543
2018,2501920,Amherst-Pelham,Massachusetts,Amherst,(413)362-1810,78100,.,Regular local school district,1340,300,83,0,0,42,70,0,113,,,,,Yes,Yes,K-1,,,,,,,,,,,,78,0,2,6,8,2,1,4,9,12,13,19,0,265,15,0.4,127.56,0,43554,1668,137,0.082134,0.038297
2018,2502430,Belchertown,Massachusetts,Belchertown,(413)323-0423,78100,.,Regular local school district,2267,444,20,1,8,105,47,0,163,Yes,K-6,,,,,,,,,,,,,,,,,60,0,7,1,8,3,1,11,8,10,15,25,2,308,19,2,115.4,0,14954,2553,132,0.051704,0.170724
2018,2502530,Berkshire Hills,Massachusetts,Stockbridge,(413)298-4017,Not applicable,.,Regular local school district,1203,233,39,2,6,58,43,0,110,No,,,,Yes,,,,,,,,,,,,,,56,1,1,3,4,2,4,5,5,7,8,18,2,223,11,2,95.85,0,9957,1256,99,0.078822,0.126142
2018,2503390,Central Berkshire,Massachusetts,Dalton,(413)684-0320,76600,.,Regular local school district,1579,258,4,3,5,70,42,0,121,Yes,K-12,,,,,,,,,,,,,,,,,52,1,1,3,4,0,2,5,4,7,8,21,1,229,10,1.5,91.35,0,13250,1872,224,0.119658,0.141283
2018,2500014,Chesterfield-Goshen,Massachusetts,Chesterfield,(413)527-7200,78100,.,Regular local school district,129,37,,1,1,10,0,0,12,,,Yes,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,1,0,3,0,28,0,0.8,13.78,0,2325,155,5,0.032258,0.066667
2018,2503660,Chicopee,Massachusetts,Chicopee,(413)594-3410,78100,.,Regular local school district,7392,1395,442,12,27,341,195,0,575,Yes,,Yes,,,Yes,,,https://drive.google.com/file/d/1e004clDf3UuvgsW3UpNZ2SI4oFGT3tRc/view,,,,,,,,,,257,5,15,11,26,2,7,18,27,40,60,93,18,1131,50,18,460.63,0,56117,7693,1770,0.230079,0.137089
2018,2503720,Clarksburg,Massachusetts,Clarksburg,(413)664-8735,76150,.,Regular local school district,185,45,,0,1,15,0,0,16,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,1,1,2,1,32,0,1,13.99,0,1643,164,14,0.085366,0.099817
2018,2503900,Conway,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,135,22,,1,1,10,0,0,12,,,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,0,1,1,1,4,0,39,2,0.2,24.55,0,1889,135,6,0.044444,0.071466
2018,2504080,Deerfield,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,392,81,4,3,3,30,0,0,37,,,Yes,,,,,,,,,,,,,,,,32,0,0,0,0,1,0,0,1,3,3,6,0,87,2,0.2,47.93,0,5092,396,24,0.060606,0.077769
2018,2504500,East Longmeadow,Massachusetts,East Longmeadow,(413)525-5450,78100,.,Regular local school district,2624,508,52,2,9,124,51,0,187,,,,,,,,,,,,,,,,,,,91,1,6,4,10,2,1,3,7,10,16,28,6,364,11,6.5,149.49,0,15998,2664,207,0.077703,0.166521
2018,2504590,Easthampton,Massachusetts,Easthampton,(413)529-1500,78100,.,Regular local school district,1545,323,45,4,5,72,33,0,115,Yes,,,,,,,,,,,,,,,,,,60,1,1,2,3,1,0,3,7,9,8,11,1,223,12,1.4,91.38,0,16383,1863,152,0.081589,0.113715
2018,2504710,Erving,Massachusetts,Erving,(413)423-3337,73300,.,Regular local school district,128,24,3,2,1,11,0,0,16,Yes (morning only),,,,,,,,,,,,,,,,,,14,0,0,0,0,1,0,1,1,1,2,4,0,42,2,0.5,23.58,0,1789,157,19,0.121019,0.087759
2018,2513321,Farmington River Reg,Massachusetts,Otis,(413)269-4466,Not applicable,.,Regular local school district,115,29,,2,1,9,0,0,12,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,2,0,0,1,2,1,28,2,1.6,11.5,0,2434,132,13,0.098485,0.054232
2018,2504920,Florida,Massachusetts,Florida,(413)664-6023,76150,.,Regular local school district,87,26,,2,0,7,0,0,9,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,1,1,2,1,22,0,1,10.95,0,850,73,16,0.219178,0.085882
2018,2505020,Franklin County Regional Vocational Technical,Massachusetts,Turners Falls,(413)863-9561,73300,.,Regular local school district,494,163,,0,0,0,48,0,48,,,,,,,,,,,,,,,,,,,8,1,0,2,2,0,2,3,0,2,8,2,1,79,4,1,24.08,0,,,,,
2018,2505100,Frontier,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,647,139,5,0,0,0,52,0,52,,,Yes,,,,,,,,,,,,,,,,25,1,0,3,3,1,0,0,2,2,7,10,0,105,3,0.2,46,0,12145,765,37,0.048366,0.062989
2018,2505160,Gateway,Massachusetts,Huntington,(413)685-1000,78100,.,Regular local school district,825,167,20,3,3,53,21,0,81,Yes,,,,,,,,,,,,,,,,,,37,0,1,2,3,1,3,4,5,4,4,13,0,155,9,0,62.6,0,8021,1182,123,0.104061,0.147363
2018,2505270,Gill-Montague,Massachusetts,Turners Falls,(413)863-9324,73300,.,Regular local school district,935,229,43,3,4,56,24,0,88,,,,,,,,,,,,,,,,,,,49,0,1,0,1,1,2,4,4,6,5,17,0,179,8,0,81.48,0,11663,1293,170,0.131477,0.110863
2018,2505400,Granby,Massachusetts,Granby,(413)467-7193,78100,.,Regular local school district,727,136,31,2,3,26,25,0,57,Yes,,,,,,,,,,,,,,,,,,22,0,0,1,1,2,0,4,3,3,4,16,0,115,7,0,48.27,0,6370,1015,65,0.064039,0.159341
2018,2505490,Greenfield,Massachusetts,Greenfield,(413)772-1311,73300,.,Regular local school district,1732,331,101,6,11,97,42,0,157,,,,,,,,,,,,,,,,,,,92,0,0,2,2,0,6,7,8,11,9,34,5,334,15,5.4,155.02,0,17348,2123,359,0.1691,0.122377
2018,2500551,Greenfield Commonwealth Virtual District,Massachusetts,Greenfield,(413)475-3879,73300,.,Regular local school district,590,125,3,0,2,0,35,0,37,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,0,2,4,2,0,0,0,48,6,0,2.33,0,,,,,
2018,2505580,Hadley,Massachusetts,Hadley,(413)586-0822,78100,.,Regular local school district,536,83,27,2,2,20,25,0,50,Yes,,,,,,,,,,,,,,,,,,26,0,0,0,0,1,0,3,3,2,4,6,0,97,6,0.5,39.6,0,5358,680,40,0.058824,0.126913
2018,2505730,Hampden-Wilbraham,Massachusetts,Wilbraham,(413)596-3884,78100,.,Regular local school district,3057,426,24,4,10,130,70,0,215,,,,,,,,,,,,,,,,,,,85,2,1,5,6,1,4,5,12,12,12,46,9,414,19,9.1,163.84,0,19640,3394,199,0.058633,0.172811
2018,2505740,Hampshire,Massachusetts,Westhampton,(413)527-7200,78100,.,Regular local school district,719,153,9,0,0,0,73,0,73,Yes,,,,,,,,,,,,,,,,,,20,0,0,4,4,0,1,1,0,4,0,7,0,111,1,0,32.96,0,12410,912,34,0.037281,0.073489
2018,2505760,Hancock,Massachusetts,RICHMOND,(413)698-4001,76600,.,Regular local school district,34,4,,0,0,5,0,0,6,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,5.2,0,692,49,3,0.061224,0.070809
2018,2505940,Hatfield,Massachusetts,Hatfield,(413)247-5641,78100,.,Regular local school district,436,79,,2,2,15,21,0,41,Yes,,,,,,,,,,,,,,,,,,12,0,0,1,1,1,0,2,0,2,4,6,4,74,2,4.4,25.9,0,3327,399,15,0.037594,0.119928
2018,2506000,Hawlemont,Massachusetts,Shelburne Falls,(413)625-0192,Not applicable,.,Regular local school district,151,34,,1,1,7,0,0,10,,,,,,,,,,,,,,,,,,,9,0,0,0,0,1,0,0,0,1,2,4,1,31,1,1.6,18.81,0,1594,94,20,0.212766,0.058971
2018,2506270,Holyoke,Massachusetts,Holyoke,(413)534-2005,78100,.,Regular local school district,5241,1346,1130,12,27,232,115,0,386,,,,,,,,,,,,,,,,,,,183,4,15,7,23,1,7,20,32,48,32,75,18,832,56,18.26,348.25,0,40465,6835,2458,0.35962,0.168911
2018,2506630,Lanesborough (non-op),Massachusetts,Lanesborough,(413)458-9582,76600,.,Regular local school district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2506690,Lee,Massachusetts,Lee,(413)243-0276,76600,.,Regular local school district,703,85,31,1,4,29,35,0,70,,,,,,,,,,,,,,,,,,,35,0,0,1,1,0,1,2,3,3,5,7,0,130,5,0,52.78,0,6037,711,71,0.099859,0.117774
2018,2506750,Lenox,Massachusetts,Lenox,(413)637-5550,76600,.,Regular local school district,756,79,18,2,4,23,47,0,76,,,,,,,,,,,,,,,,,,,27,0,0,2,3,1,1,4,0,3,10,4,2,133,4,2,47.32,0,4882,660,48,0.072727,0.135191
2018,2506810,Leverett,Massachusetts,Erving,(413)423-3337,73300,.,Regular local school district,135,18,,1,1,13,0,0,16,Yes,"K-1, Sp Ed",,,,,,,http://www.leverettschool.org/cms/one.aspx?portalId=3147943&pageId=3147970&objectId.315761=69653778&contextId.315761=3148453&parentId.315761=3148454&localStartDate=2020-11-09T00:00&localEndDate=2020-11-13T23:59&ref=mesTP9fg96fVsgzpWYeogDs1X%2bB%2ffh4Qec3Rjf6usE0%3d,,,,,,,,,,6,0,0,0,0,0,0,1,0,1,1,3,0,30,2,0,11.92,0,1831,122,7,0.057377,0.06663
2018,2506990,Longmeadow,Massachusetts,Longmeadow,(413)565-4200,78100,.,Regular local school district,2874,558,22,3,13,148,82,0,247,,,,,,,,,,,,,,,,,,,89,0,2,5,7,2,6,5,7,11,16,30,5,427,12,5,156,0,16014,3005,123,0.040932,0.187648
2018,2507050,Ludlow,Massachusetts,Ludlow,(413)583-8372,78100,.,Regular local school district,2594,413,68,7,12,128,74,0,222,,,,,,,,,,,,,,,,,,,85,1,3,4,7,3,4,4,10,12,17,41,5,416,16,5.75,165,0,21408,2926,321,0.109706,0.136678
2018,2507990,Mohawk Trail,Massachusetts,Shelburne Falls,(413)625-0192,Not applicable,.,Regular local school district,904,200,3,5,6,33,41,0,86,,,,,,,,,,,,,,,,,,,76,0,0,0,0,1,1,3,5,8,4,20,1,210,9,1.8,111.39,0,10516,1222,171,0.139935,0.116204
2018,2508040,Monson,Massachusetts,Monson,(413)267-4150,78100,.,Regular local school district,917,144,9,3,4,49,23,0,80,,,,,,,,,,,,,,,,,,,37,1,3,2,5,0,2,5,3,7,12,11,0,164,9,0,69.66,0,8688,1432,121,0.084497,0.164825
2018,2508160,Mount Greylock,Massachusetts,Williamstown,(413)458-9582,76150,.,Regular local school district,1196,183,3,2,6,49,44,0,103,,,,,,,,,,,,,,,,,,,49,0,0,2,2,0,0,5,4,5,4,12,1,189,9,1,71.69,0,10665,1102,91,0.082577,0.103329
2018,2508530,New Salem-Wendell,Massachusetts,Erving,(413)423-3337,73300,.,Regular local school district,149,26,,1,0,11,0,0,13,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,1,1,1,1,2,0,33,2,0,18,0,1827,120,13,0.108333,0.065681
2018,2508670,North Adams,Massachusetts,North Adams,(413)776-1458,76150,.,Regular local school district,1365,351,10,6,7,64,46,0,124,,,,,,,,,,,,,,,,,,,83,1,0,2,2,0,3,7,15,15,10,21,0,281,23,0,132,0,15672,1665,360,0.216216,0.10624
2018,2508850,Northampton,Massachusetts,Northampton,(413)587-1315,78100,.,Regular local school district,2626,596,89,4,10,158,58,0,231,,,Yes,Elementary,,,,,https://www.northamptonma.gov/DocumentCenter/View/15947/School-NASE-MOA-2020-PDF?bidId=,,,,,,,,,,91,1,3,4,7,1,7,7,10,11,18,44,6,437,18,6.2,174.23,0,29155,3127,320,0.102335,0.107254
2018,2508860,Northampton-Smith Vocational Agricultural,Massachusetts,Northampton,(413)587-1414,78100,.,Regular local school district,495,193,8,0,0,0,57,0,57,,,,,,,,,,,,,,,,,,,13,0,0,3,3,1,2,3,0,5,10,4,0,98,3,0,35,0,,,,,
2018,2508950,Northern Berkshire Regional Vocational Technical,Massachusetts,North Adams,(413)663-5383,76150,.,Regular local school district,496,86,,0,0,0,40,0,40,,,,,,,,,,,,,,,,,,,5,0,0,3,3,1,0,2,0,2,7,1,3,64,2,3,16,0,,,,,
2018,2509300,Palmer,Massachusetts,Palmer,(413)283-2650,78100,.,Regular local school district,1335,270,32,2,6,44,61,0,114,,,,,,,,,,,,,,,,,,,46,0,0,3,3,0,3,3,6,5,15,18,6,220,9,6,87.54,0,12316,1817,237,0.130435,0.147532
2018,2509310,Pathfinder Regional Vocational Technical,Massachusetts,Palmer,(413)283-9701,78100,.,Regular local school district,648,189,,0,0,0,74,0,74,,,,,,,,,,,,,,,,,,,9,1,0,3,3,1,2,4,0,3,8,4,0,110,5,0,27.9,0,,,,,
2018,2509390,Pelham,Massachusetts,Pelham,(413)362-1810,78100,.,Regular local school district,135,30,3,0,1,11,0,0,12,,,,,Yes,,,,,,,,,,,,,,9,0,1,0,1,0,0,0,0,1,1,2,0,28,0,0,14.41,0,1351,71,5,0.070423,0.052554
2018,2509600,Pioneer Valley,Massachusetts,Northfield,(413)512-5608,73300,.,Regular local school district,743,147,3,3,4,30,23,0,60,,,,,,,,,,,,,,,,,,,43,0,0,1,1,0,2,3,4,4,6,13,3,144,8,3,69.99,0,6616,963,69,0.071651,0.145556
2018,2509630,Pittsfield,Massachusetts,Pittsfield,(413)499-9512,76600,.,Regular local school district,5429,1216,238,6,29,297,156,0,489,,,,,,,,,,,,,,,,,,,205,2,4,7,11,4,6,14,20,30,24,65,6,879,36,6,334.67,0,44490,5776,1039,0.179882,0.129827
2018,2512100,Quaboag Regional,Massachusetts,Warren,(413)436-9256,79600,.,Regular local school district,1303,229,11,1,6,63,30,0,101,,,,,,,,,,,,,,,,,,,36,0,1,3,4,0,2,5,3,5,5,23,2,188,8,2,73.11,0,9141,1420,69,0.048592,0.155344
2018,2510080,Richmond,Massachusetts,Richmond,(413)698-2207,76600,.,Regular local school district,179,12,,1,1,17,0,0,21,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,1,2,1,0,35,0,0,13.3,0,1426,104,6,0.057692,0.072931
2018,2510230,Rowe,Massachusetts,Rowe,(413)664-9292,Not applicable,.,Regular local school district,66,16,,1,1,6,0,0,8,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,1,1,0,16,0,0,7.33,0,396,34,2,0.058824,0.085859
2018,2510530,Savoy,Massachusetts,Savoy,(413)743-1992,76600,.,Regular local school district,63,12,,1,0,3,0,0,5,,,,,,,,,,,,,,,,,,,4,0,1,0,1,0,0,0,1,0,1,4,0,17,1,0,9.5,0,664,43,11,0.255814,0.064759
2018,2510800,Shutesbury,Massachusetts,Erving,(413)423-3337,73300,.,Regular local school district,128,20,,1,2,12,0,0,16,,,Yes,Elementary (K-2 Dec. 7),,,,,http://www.shutesburyschool.org/,,,,,,,,,,11,0,1,0,1,0,0,1,1,1,1,2,0,36,2,0.4,15.96,0,1766,138,13,0.094203,0.078143
2018,2510920,South Hadley,Massachusetts,South Hadley,(413)538-5060,78100,.,Regular local school district,1914,347,85,4,8,87,46,0,146,Yes,Sp ED,,,,,,,,,,,,,,,,,74,0,3,1,4,2,3,5,9,6,10,22,0,283,14,0,118,0,17887,2010,149,0.074129,0.112372
2018,2510950,Southampton,Massachusetts,Southampton,(413)527-7200,78100,.,Regular local school district,501,96,10,0,4,31,0,0,36,Yes,,,,,,,,,,,,,,,,,,19,0,0,0,0,1,0,1,0,2,0,6,1,68,1,1,29.38,0,5913,425,16,0.037647,0.071876
2018,2511040,Southern Berkshire,Massachusetts,Sheffield,(413)229-8778,Not applicable,.,Regular local school district,688,135,10,2,4,28,35,0,70,,,,,,,,,,,,,,,,,,,35,0,0,1,1,2,2,5,0,3,12,9,0,142,6,0,63.85,0,7328,889,98,0.110236,0.121316
2018,2500013,Southwick-Tolland-Granville Regional School District,Massachusetts,Southwick,(413)569-5391,78100,.,Regular local school district,1511,254,50,3,8,53,63,0,128,,,,,,,,,,,,,,,,,,,55,1,0,4,4,2,3,4,7,6,11,16,6,245,12,6,94.73,0,11723,1880,205,0.109043,0.160369
2018,2511130,Springfield,Massachusetts,Springfield,(413)787-7100,78100,.,Regular local school district,25297,6011,4023,64,91,1142,619,0,1917,,,,,,,,,,,,,,,,,,,710,10,13,40,53,15,31,45,142,127,199,289,120,3660,197,120.57,1372.86,0,155375,27700,10440,0.376895,0.178278
2018,2511370,Sunderland,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,232,46,13,2,2,18,0,0,22,,,Yes,,,,,,,,,,,,,,,,26,0,0,0,0,1,0,0,1,1,0,5,0,60,2,0.2,34.95,0,3668,156,14,0.089744,0.04253
2018,2512030,Ware,Massachusetts,Ware,(413)967-4271,78100,.,Regular local school district,1189,241,12,3,5,44,39,0,92,Yes,K-12,,,,,,,,,,,,,,,,,43,0,0,2,2,3,1,4,5,5,7,15,0,177,9,0,74,0,10067,1368,217,0.158626,0.13589
2018,2512510,West Springfield,Massachusetts,West Springfield,(413)263-3300,78100,.,Regular local school district,4113,789,428,6,18,208,93,0,326,,,,,,,,,,,,,,,,,,,152,1,3,6,9,2,2,6,13,18,21,47,3,603,20,3,244.29,0,28807,3978,806,0.202614,0.138091
2018,2512630,Westfield,Massachusetts,Westfield,(413)572-6403,78100,.,Regular local school district,5327,996,304,8,22,233,157,0,421,,,,,,,,,,,,,,,,,,,203,1,4,8,12,3,2,10,19,28,27,46,8,784,30,8.5,312.18,0,41692,6079,899,0.147886,0.145807
2018,2512690,Westhampton,Massachusetts,Westhampton,(413)527-7200,78100,.,Regular local school district,121,26,3,1,1,11,0,0,13,Yes,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,1,0,3,0,28,0,0,14.17,0,1636,116,5,0.043103,0.070905
2018,2512870,Whately,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,139,17,3,1,1,10,0,0,12,,,,,,,,,,,,,,,,,,,9,0,0,0,0,1,0,0,1,2,2,3,0,33,2,0.2,18.38,0,1496,79,2,0.025316,0.052807
2018,2512990,Williamsburg,Massachusetts,Williamsburg,(413)527-7200,78100,.,Regular local school district,147,27,4,1,1,12,0,0,15,Yes,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,1,0,4,0,28,0,0,12.98,0,2536,156,18,0.115385,0.061514
2018,2513020,Williamstown (non-op),Massachusetts,Williamstown,(413)458-9582,76150,.,Regular local school district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2513260,Worthington,Massachusetts,Worthington,(413)238-5856,78100,.,Regular local school district,74,15,,1,1,4,0,0,7,Yes,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,8.05,0,1181,123,15,0.121951,0.104149